Unnamed: 0,state_total,NSW_total,VIC_total,QLD_total,SA_total,WA_total,TAS_total,ACT_total,DATE_NUMERIC,YEAR,MONTH
1986-12-01,955.7,212.6,185.3,367.1,73.1,71.9,22.8,5.3,725341,1986,12
2020-12-01,809.6,171.9,127.8,407.1,27.2,49.2,26.4,0.0,737760,2020,12
2014-06-01,1073.4,233.9,169.5,548.7,57.4,46.2,17.7,0.0,735385,2014,6
1983-03-01,867.2,218.7,232.6,240.5,66.1,70.6,31.5,3.9,723970,1983,3
1982-09-01,1210.5,259.4,232.4,450.0,86.8,111.5,24.1,3.1,723789,1982,9
2013-03-01,998.2,225.6,161.0,491.9,55.5,49.4,14.8,0.0,734928,2013,3
2012-03-01,975.5,228.5,127.4,496.0,58.8,46.0,18.9,0.0,734563,2012,3
1997-03-01,987.3,268.0,240.6,350.3,45.8,49.7,32.7,0.0,729084,1997,3
2003-12-01,1017.9,201.6,144.8,528.0,54.5,63.3,25.4,0.0,731550,2003,12
1996-09-01,954.1,259.9,211.6,383.7,31.2,42.6,19.9,0.0,728903,1996,9
1997-12-01,1015.0,248.4,226.8,403.7,51.4,58.7,23.1,0.0,729359,1997,12
1986-09-01,958.6,191.0,139.9,444.8,59.5,68.2,18.9,5.9,725250,1986,9
2008-03-01,923.7,227.6,149.6,429.5,48.4,47.7,20.9,0.0,733102,2008,3
1998-06-01,949.6,214.4,212.5,414.1,35.5,45.3,23.8,0.0,729541,1998,6
1996-03-01,979.2,273.6,262.8,310.5,50.6,53.6,27.6,0.0,728719,1996,3
2023-09-01,971.1,198.1,138.7,535.1,26.8,45.5,27.0,0.0,738764,2023,9
2017-06-01,976.3,201.6,126.6,524.8,62.7,42.9,17.7,0.0,736481,2017,6
1988-09-01,984.5,228.0,159.1,406.8,54.2,69.1,19.1,7.8,725981,1988,9
2000-06-01,947.4,179.3,154.5,503.3,41.3,41.2,26.4,0.0,730272,2000,6
2013-12-01,1137.6,248.2,174.7,571.1,61.4,63.5,18.7,0.0,735203,2013,12
2021-12-01,836.4,179.1,116.3,452.4,23.8,41.7,23.3,0.0,738125,2021,12
1992-03-01,1000.4,276.1,236.6,322.7,66.8,57.8,30.2,8.0,727258,1992,3
1995-03-01,896.0,266.3,194.8,281.1,57.0,62.8,33.8,0.0,728353,1995,3
1985-03-01,767.5,176.3,192.3,255.8,58.5,52.1,22.7,4.9,724701,1985,3
1987-09-01,1030.3,245.1,143.3,438.8,61.7,76.1,23.8,5.7,725615,1987,9
2009-12-01,981.1,231.2,134.7,499.6,54.8,42.7,18.1,0.0,733742,2009,12
1977-09-01,1365.4,425.4,335.7,380.3,74.2,103.8,39.0,7.0,721963,1977,9
2003-03-01,941.4,247.8,172.1,408.4,46.6,43.0,23.2,0.0,731275,2003,3
1990-03-01,1050.8,308.6,200.7,359.0,73.7,63.2,32.6,9.6,726527,1990,3
2010-03-01,908.1,224.5,152.9,414.7,59.1,37.1,19.8,0.0,733832,2010,3
2020-06-01,834.5,182.9,121.9,444.4,20.9,38.5,25.9,0.0,737577,2020,6
2021-06-01,806.8,169.7,109.6,447.9,17.1,38.8,23.8,0.0,737942,2021,6
2024-09-01,1071.8,190.2,158.7,611.3,41.0,45.3,25.4,0.0,739130,2024,9
1989-03-01,875.3,236.4,201.0,279.9,68.9,52.7,25.1,8.5,726162,1989,3
1996-12-01,986.1,272.6,231.4,342.4,47.5,60.2,29.3,0.0,728994,1996,12
1985-06-01,899.2,157.6,146.1,420.1,60.0,72.7,23.1,3.8,724793,1985,6
1978-09-01,1326.2,374.3,280.4,425.3,64.1,113.7,31.9,8.0,722328,1978,9
2004-06-01,1016.3,203.0,160.8,535.1,41.6,46.0,29.5,0.0,731733,2004,6
1999-09-01,1009.5,187.3,173.6,536.7,37.1,42.2,26.7,0.0,729998,1999,9
1997-09-01,1070.8,259.2,213.5,486.2,36.1,46.0,21.1,0.0,729268,1997,9
2019-06-01,884.5,202.3,147.3,445.0,27.1,38.5,24.3,0.0,737211,2019,6
2020-09-01,828.6,166.0,104.5,466.0,22.1,42.3,27.7,0.0,737669,2020,9
1999-03-01,968.0,200.5,238.7,431.7,27.9,45.9,23.0,0.0,729814,1999,3
1978-12-01,1345.5,395.6,304.0,384.1,86.7,116.8,32.3,8.0,722419,1978,12
1980-03-01,858.8,286.3,190.5,202.8,58.8,70.5,30.1,8.8,722875,1980,3
1991-09-01,1102.2,265.1,164.5,509.6,52.2,60.9,21.6,2.5,727076,1991,9
2018-03-01,942.5,231.2,149.5,452.4,36.6,45.7,27.1,0.0,736754,2018,3
2009-09-01,1056.4,231.3,106.4,627.9,38.2,38.3,14.3,0.0,733651,2009,9
1981-03-01,772.1,212.6,238.7,158.0,48.9,75.5,28.9,5.6,723240,1981,3
1994-12-01,1109.7,294.2,210.2,433.0,68.3,74.2,27.6,0.0,728263,1994,12
2019-03-01,912.1,218.2,153.7,449.7,29.0,34.3,27.2,0.0,737119,2019,3
2010-06-01,977.3,210.0,139.6,522.9,51.3,33.7,19.9,0.0,733924,2010,6
2017-03-01,928.4,209.8,140.0,460.1,48.6,47.9,22.1,0.0,736389,2017,3
2021-03-01,770.7,169.1,121.3,399.2,19.0,39.7,22.3,0.0,737850,2021,3
1992-09-01,1107.3,283.0,172.2,475.4,57.2,71.9,18.2,7.7,727442,1992,9
1990-06-01,1000.6,250.4,191.3,364.3,63.5,67.9,33.5,7.8,726619,1990,6
2003-09-01,951.2,180.7,137.5,544.7,34.3,40.6,13.1,0.0,731459,2003,9
1989-06-01,965.3,237.0,194.1,359.9,57.3,63.5,30.5,8.3,726254,1989,6
2024-03-01,929.6,197.6,151.3,470.4,35.9,47.2,27.3,0.0,738946,2024,3
1991-06-01,1073.0,258.3,217.9,434.1,56.8,52.2,30.3,8.7,726984,1991,6
1988-12-01,986.0,250.8,195.2,346.6,79.0,67.6,22.5,7.6,726072,1988,12
1998-12-01,994.4,198.0,229.6,440.3,35.4,66.6,22.4,0.0,729724,1998,12
1982-03-01,996.2,238.9,270.7,285.6,75.3,81.0,32.1,8.5,723605,1982,3
1991-03-01,939.7,231.3,237.9,300.5,66.4,59.3,35.7,7.0,726892,1991,3
2016-12-01,995.5,214.0,137.6,508.6,55.9,58.9,20.5,0.0,736299,2016,12
2023-06-01,898.0,195.0,127.2,484.8,22.9,44.9,23.3,0.0,738672,2023,6
2009-03-01,946.0,221.0,138.9,477.3,45.3,46.3,17.2,0.0,733467,2009,3
1986-03-01,807.5,200.7,184.0,277.2,62.9,47.9,24.9,5.6,725066,1986,3
2016-03-01,991.8,203.6,165.8,496.0,53.6,47.5,25.2,0.0,736024,2016,3
2022-06-01,829.7,189.0,108.4,449.4,25.4,39.7,17.7,0.0,738307,2022,6
1977-03-01,1149.7,373.1,298.2,262.9,69.1,101.5,38.6,6.4,721779,1977,3
1989-12-01,1108.1,295.8,207.4,401.4,73.2,78.0,24.7,9.6,726437,1989,12
2014-03-01,1087.3,238.7,184.9,528.3,66.9,46.1,22.5,0.0,735293,2014,3
2009-06-01,930.8,200.5,112.7,512.0,45.6,43.1,16.9,0.0,733559,2009,6
2014-09-01,1181.5,260.2,197.1,594.0,59.6,52.6,18.0,0.0,735477,2014,9
2002-09-01,1056.0,233.1,135.2,591.1,38.1,39.0,19.2,0.0,731094,2002,9
2001-09-01,1095.4,207.6,138.6,663.2,37.0,31.3,17.2,0.0,730729,2001,9
2005-12-01,1045.7,218.1,157.5,546.9,48.1,53.3,21.5,0.0,732281,2005,12
1998-09-01,979.2,209.7,192.0,472.5,29.7,45.1,20.9,0.0,729633,1998,9
1995-06-01,988.4,254.2,208.3,398.7,43.5,50.6,30.9,0.0,728445,1995,6
2007-03-01,1072.6,254.3,176.9,522.6,51.1,44.9,22.6,0.0,732736,2007,3
2024-12-01,1028.4,190.4,152.0,565.3,42.5,49.4,28.9,0.0,739221,2024,12
1981-12-01,950.1,204.4,208.1,344.7,59.7,86.5,23.7,6.7,723515,1981,12
1994-09-01,1062.5,290.8,169.4,484.3,37.3,56.5,18.8,0.0,728172,1994,9
2003-06-01,943.7,218.9,154.3,476.8,38.9,36.0,18.6,0.0,731367,2003,6
1980-06-01,1001.9,239.0,185.2,388.5,40.3,86.2,22.6,7.1,722967,1980,6
1999-12-01,1015.5,196.7,189.0,502.1,44.5,55.8,26.0,0.0,730089,1999,12
2021-09-01,886.9,177.6,105.1,536.4,20.8,25.3,21.7,0.0,738034,2021,9
2002-06-01,1038.0,216.5,150.1,566.0,47.4,36.9,20.9,0.0,731002,2002,6
