DATE,TOTAL,NSW_TOTAL,VIC_TOTAL,QLD_TOTAL,SA_TOTAL,WA_TOTAL,TAS_TOTAL,DATE_NUMERIC,YEAR,MONTH
1995-06-01,988.4,254.2,208.3,398.7,43.5,50.6,30.9,728445,1995,6
2004-03-01,950.4,208.7,170.5,442.0,48.1,50.6,30.3,731641,2004,3
2004-12-01,1105.2,214.9,159.3,584.0,56.3,61.8,28.5,731916,2004,12
2005-06-01,1138.1,248.6,143.2,608.1,48.1,64.1,25.7,732098,2005,6
1996-03-01,979.2,273.6,262.8,310.5,50.6,53.6,27.6,728719,1996,3
2014-06-01,1073.4,233.9,169.5,548.7,57.4,46.2,17.7,735385,2014,6
1990-09-01,1143.4,261.6,212.2,480.3,63.1,68.7,23.3,726711,1990,9
1985-06-01,899.2,157.6,146.1,420.1,60.0,72.7,23.1,724793,1985,6
2018-03-01,942.5,231.2,149.5,452.4,36.6,45.7,27.1,736754,2018,3
2019-12-01,956.9,209.0,160.5,484.8,29.5,45.3,27.9,737394,2019,12
2020-12-01,809.6,171.9,127.8,407.1,27.2,49.2,26.4,737760,2020,12
1978-12-01,1345.5,395.6,304.0,384.1,86.7,116.8,32.3,722419,1978,12
1980-03-01,858.8,286.3,190.5,202.8,58.8,70.5,30.1,722875,1980,3
2010-09-01,1025.7,226.1,130.2,566.4,46.6,35.9,20.5,734016,2010,9
1983-12-01,836.3,199.6,175.2,293.8,61.2,64.1,17.6,724245,1983,12
1990-06-01,1000.6,250.4,191.3,364.3,63.5,67.9,33.5,726619,1990,6
1994-03-01,944.2,243.8,217.6,342.6,52.7,59.4,27.7,727988,1994,3
1991-06-01,1073.0,258.3,217.9,434.1,56.8,52.2,30.3,726984,1991,6
2002-03-01,884.8,206.4,171.1,397.7,51.6,34.6,23.2,730910,2002,3
2011-09-01,1055.8,232.7,121.3,599.4,46.5,42.5,13.3,734381,2011,9
2005-03-01,1007.6,226.9,160.5,484.7,51.7,52.5,31.0,732006,2005,3
2016-03-01,991.8,203.6,165.8,496.0,53.6,47.5,25.2,736024,2016,3
2011-12-01,1094.2,235.0,154.6,569.1,60.5,57.3,17.8,734472,2011,12
2009-12-01,981.1,231.2,134.7,499.6,54.8,42.7,18.1,733742,2009,12
1984-03-01,755.1,181.3,189.2,260.3,42.4,47.4,24.0,724336,1984,3
2017-09-01,1037.1,208.5,140.1,550.6,67.1,48.3,22.5,736573,2017,9
1994-12-01,1109.7,294.2,210.2,433.0,68.3,74.2,27.6,728263,1994,12
2006-03-01,1039.1,238.4,158.6,519.1,54.9,46.7,21.0,732371,2006,3
1979-03-01,1254.7,394.9,303.6,347.2,77.6,86.3,31.0,722509,1979,3
1995-03-01,896.0,266.3,194.8,281.1,57.0,62.8,33.8,728353,1995,3
2002-06-01,1038.0,216.5,150.1,566.0,47.4,36.9,20.9,731002,2002,6
2000-03-01,920.3,192.2,192.9,416.1,46.7,42.3,29.9,730180,2000,3
2008-03-01,923.7,227.6,149.6,429.5,48.4,47.7,20.9,733102,2008,3
1999-12-01,1015.5,196.7,189.0,502.1,44.5,55.8,26.0,730089,1999,12
1984-12-01,738.0,162.3,161.7,255.7,51.3,65.3,20.5,724611,1984,12
2013-09-01,1177.9,265.5,161.4,638.9,50.2,47.8,14.1,735112,2013,9
2007-03-01,1072.6,254.3,176.9,522.6,51.1,44.9,22.6,732736,2007,3
1987-09-01,1030.3,245.1,143.3,438.8,61.7,76.1,23.8,725615,1987,9
1991-09-01,1102.2,265.1,164.5,509.6,52.2,60.9,21.6,727076,1991,9
1985-03-01,767.5,176.3,192.3,255.8,58.5,52.1,22.7,724701,1985,3
2014-03-01,1087.3,238.7,184.9,528.3,66.9,46.1,22.5,735293,2014,3
2004-09-01,1135.9,235.4,137.2,653.8,34.9,50.3,24.0,731825,2004,9
1994-06-01,969.5,241.7,192.5,406.4,42.7,54.1,27.8,728080,1994,6
2013-06-01,1081.5,241.3,147.0,578.3,57.4,43.7,13.7,735020,2013,6
2020-09-01,828.6,166.0,104.5,466.0,22.1,42.3,27.7,737669,2020,9
2005-09-01,1102.8,224.4,124.1,657.2,34.7,42.3,19.7,732190,2005,9
2014-09-01,1181.5,260.2,197.1,594.0,59.6,52.6,18.0,735477,2014,9
1992-09-01,1107.3,283.0,172.2,475.4,57.2,71.9,18.2,727442,1992,9
2009-09-01,1056.4,231.3,106.4,627.9,38.2,38.3,14.3,733651,2009,9
2012-06-01,985.2,202.5,133.1,541.5,48.0,42.4,17.7,734655,2012,6
1985-09-01,880.3,166.1,144.3,389.7,60.5,74.2,16.3,724885,1985,9
1981-06-01,964.1,235.7,199.1,319.7,54.5,94.3,26.4,723332,1981,6
1991-12-01,1102.0,273.1,207.0,440.8,74.3,69.0,23.7,727167,1991,12
2007-09-01,1033.2,221.1,124.4,584.2,38.1,48.1,17.3,732920,2007,9
1999-06-01,929.5,172.8,191.9,463.5,30.1,40.3,28.5,729906,1999,6
2018-06-01,965.3,210.6,150.1,506.5,32.5,41.6,23.9,736846,2018,6
1987-03-01,843.9,208.5,184.8,285.3,67.8,58.9,30.1,725431,1987,3
1995-12-01,978.7,229.5,241.7,351.2,58.3,68.4,24.4,728628,1995,12
2006-06-01,1050.8,234.3,137.5,575.7,39.1,45.0,19.0,732463,2006,6
2003-09-01,951.2,180.7,137.5,544.7,34.3,40.6,13.1,731459,2003,9
2007-06-01,1010.2,225.8,134.7,543.3,41.1,43.2,21.9,732828,2007,6
2000-06-01,947.4,179.3,154.5,503.3,41.3,41.2,26.4,730272,2000,6
1987-12-01,1041.6,271.1,180.5,377.5,82.4,79.9,24.2,725706,1987,12
2001-09-01,1095.4,207.6,138.6,663.2,37.0,31.3,17.2,730729,2001,9
1985-12-01,806.7,189.8,180.6,267.8,61.4,67.4,18.7,724976,1985,12
1988-06-01,896.5,207.1,164.8,357.4,57.7,61.4,25.2,725889,1988,6
2002-12-01,1065.2,261.8,168.4,517.5,42.9,55.5,18.9,731185,2002,12
1982-12-01,945.2,236.2,228.8,261.0,78.7,89.4,28.6,723880,1982,12
