Unnamed: 0,state_total,NSW_total,VIC_total,QLD_total,SA_total,WA_total,TAS_total,ACT_total
Jun-2002,1038.0,216.5,150.1,566.0,47.4,36.9,20.9,0.0
Sep-2002,1056.0,233.1,135.2,591.1,38.1,39.0,19.2,0.0
Dec-2002,1065.2,261.8,168.4,517.5,42.9,55.5,18.9,0.0
Mar-2003,941.4,247.8,172.1,408.4,46.6,43.0,23.2,0.0
Jun-2003,943.7,218.9,154.3,476.8,38.9,36.0,18.6,0.0
Sep-2003,951.2,180.7,137.5,544.7,34.3,40.6,13.1,0.0
Dec-2003,1017.9,201.6,144.8,528.0,54.5,63.3,25.4,0.0
Mar-2004,950.4,208.7,170.5,442.0,48.1,50.6,30.3,0.0
Jun-2004,1016.3,203.0,160.8,535.1,41.6,46.0,29.5,0.0
Sep-2004,1135.9,235.4,137.2,653.8,34.9,50.3,24.0,0.0
Dec-2004,1105.2,214.9,159.3,584.0,56.3,61.8,28.5,0.0
Mar-2005,1007.6,226.9,160.5,484.7,51.7,52.5,31.0,0.0
Jun-2005,1138.1,248.6,143.2,608.1,48.1,64.1,25.7,0.0
Sep-2005,1102.8,224.4,124.1,657.2,34.7,42.3,19.7,0.0
Dec-2005,1045.7,218.1,157.5,546.9,48.1,53.3,21.5,0.0
Mar-2006,1039.1,238.4,158.6,519.1,54.9,46.7,21.0,0.0
Jun-2006,1050.8,234.3,137.5,575.7,39.1,45.0,19.0,0.0
Sep-2006,1145.4,230.8,139.1,673.0,37.2,47.2,18.0,0.0
Dec-2006,1162.6,230.4,183.9,618.3,50.0,53.8,26.0,0.0
Mar-2007,1072.6,254.3,176.9,522.6,51.1,44.9,22.6,0.0
Jun-2007,1010.2,225.8,134.7,543.3,41.1,43.2,21.9,0.0
Sep-2007,1033.2,221.1,124.4,584.2,38.1,48.1,17.3,0.0
Dec-2007,1079.0,235.3,163.2,556.0,42.4,62.0,20.1,0.0
Mar-2008,923.7,227.6,149.6,429.5,48.4,47.7,20.9,0.0
Jun-2008,1073.9,233.1,139.8,600.3,32.1,50.2,18.5,0.0
Sep-2008,1046.1,233.6,117.1,601.2,27.7,48.9,17.6,0.0
Dec-2008,1023.3,226.3,135.9,535.6,40.7,66.7,18.1,0.0
Mar-2009,946.0,221.0,138.9,477.3,45.3,46.3,17.2,0.0
Jun-2009,930.8,200.5,112.7,512.0,45.6,43.1,16.9,0.0
Sep-2009,1056.4,231.3,106.4,627.9,38.2,38.3,14.3,0.0
Dec-2009,981.1,231.2,134.7,499.6,54.8,42.7,18.1,0.0
Mar-2010,908.1,224.5,152.9,414.7,59.1,37.1,19.8,0.0
Jun-2010,977.3,210.0,139.6,522.9,51.3,33.7,19.9,0.0
Sep-2010,1025.7,226.1,130.2,566.4,46.6,35.9,20.5,0.0
Dec-2010,1021.9,220.7,156.7,521.3,52.1,49.3,21.9,0.0
Mar-2011,955.7,223.8,150.6,455.6,60.3,44.1,21.3,0.0
Jun-2011,1029.8,223.8,125.0,565.7,52.2,44.7,18.4,0.0
Sep-2011,1055.8,232.7,121.3,599.4,46.5,42.5,13.3,0.0
Dec-2011,1094.2,235.0,154.6,569.1,60.5,57.3,17.8,0.0
Mar-2012,975.5,228.5,127.4,496.0,58.8,46.0,18.9,0.0
Jun-2012,985.2,202.5,133.1,541.5,48.0,42.4,17.7,0.0
Sep-2012,1085.9,227.5,124.0,623.3,53.8,44.6,12.7,0.0
Dec-2012,1099.2,237.1,151.3,589.3,51.1,54.3,16.2,0.0
Mar-2013,998.2,225.6,161.0,491.9,55.5,49.4,14.8,0.0
